Roaster,CoffeeName,Country,Region,Producer,Variety,Processing,Altitude,TastingNotes,HarvestTime,Certification,Latitude,Bean
Oren's Daily Roast,Costa Rica La Minita,Costa Rica,Tarrazu,,Caturra,Natural/Dry Processed,,"Sweet, delicate, honey",,,,
Joe Coffee,La Familia Guarnizo,Colombia,"Tarqui, Huila",Guarnizo Family,"Caturra, Colombia",Washed,1600 - 1800,"Caramel, honey, clementine","April - July, October - December",Rainforest Alliance,,
Stay Golden Coffee Co.,Estate La Esperanza,Colombia,Trujillo,Rigoberto and Luis Herrera,"Colombia, Caturra, Mandela",Washed,1430 - 1760,"Chardonnay, panela, buttery",,,,
Kuma Coffee,Matituy,Colombia,Narino,Assorted,"Castillo, Caturra",Washed,1950,"Raisin, walnut, chocolate",July,,,
Verve Coffee Roasters,Ethiopia Sakaro,Ethiopia,"Worka Kebele, Gedeb District",,Ethiopia Heirloom,Washed,2000 - 2400,"Pink lady, pomegranate, wildflower honey",December - March,,,
Red Rooster Coffee,Ethiopia Demeka Becha,Ethiopia,Sidama,Demeka Becha Washing Station,Landrace Varietals,Washed,2100 - 2200,"Peach, tangerine, floral",,Organic,,
La Colombe Workshop Coffees,Colombia San Roque,Colombia,,,,Washed,1500 - 1700,"Clementines, cherry cola, chocolate",,,,
Huckleberry Roasters,Ethiopia Mustefa Natural,Ethiopia,Jimma Zone,Mustefa Abalulessa,Ethiopian Varieties,Natural,2100,"Blackberry, red wine, dark chocolate",,,,
Wonderstate Coffee,Organic Colombia Fondo Paez,Colombia,"Popayan, Cauca",Fondo Paez Cooperative,"Typica, Bourbon, Colombia, Castillo",Washed,1500 - 2200,"Tangerine, tamarind, floral",,Organic,,
Stay Golden Coffee Co.,Palmera,Colombia,Huila,,"Caturra, Castillo, Colombia",Washed,1500,"Strawberry, caramel, balanced",,,,
Sterling Coffee Roasters,Urrao Valle del Penderisco Colombia,Colombia,,,"Bourbon, Caturra",Washed,1900,"Molasses, raw sugar",Fall,,,
Greater Goods Coffee Co.,Take Me Home (Costa Rica),Costa Rica,"San Marcos, Tarrazu",Roger Solis,Red Catuai,Yellow Honeyed,1650 - 2000,"Toffee, meyer lemon, vanilla",December - February,,,
Doma Coffee Roasting Company,Guatemala Fraijanes,Guatemala,Fraijanes,"Prentice, Finca de Dios",Bourbon,Washed,1750,"Cinnamon, caramel, apple",,,,
Red Rooster Coffee,Colombia Tolima,Colombia,Tolima,Cumbre Cooperative,"Caturra, Colombia, Castillo",Washed,1300 - 1800,"Honeydew melon, Fuji apple, milk chocolate",May - August,"Organic, Fairtrade",,
Huckleberry Roasters,Guatemala Atitlan el Grano,Guatemala,Lake Atitlan,AProCafé El Grano Growers Association,"Bourbon, Caturra, Catuai, Pache",Washed,1550 - 2100,"Red apple, hazelnut, plum, caramel",,,,
Verve Coffee Roasters,Kenya Baragwi Peaberry,Kenya,Kirinyaga,,"SL-28, SL-34, Ruiru 11, Batian",Experimental/Other,1600 - 1800,"Blackberry, watermelon, balanced",November - December,,,Peaberry
